point_addr_hex,logical_name,rw,value_type,scale_divisor,units,min_raw,max_raw,enum_name,notes
0x1004,SupplyRH,R,scaled-int,10,percent relative humidity,0,1000,,name=Supply RH; models=0|17; modelNames=VT7607B5x00W|VT7657B5x00W
0x1005,OccCoolSetpoint,RW,scaled-int,10,fahrenheit,540,1000,,name=Occupied Cooling Setpoint; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1006,OccHeatSetpoint,RW,scaled-int,10,fahrenheit,400,900,,name=Occupied Heating Setpoint; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1007,StandbyCoolSetpoint,RW,scaled-int,10,fahrenheit,540,1000,,name=Standby Cooling Setpoint; models=41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61|81|83|85; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x1008,StandbyHeatSetpoint,RW,scaled-int,10,fahrenheit,400,900,,name=Standby Heating Setpoint; models=41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61|81|83|85; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x1009,UnoccCoolSetpoint,RW,scaled-int,10,fahrenheit,540,1000,,name=Unoccupied Cooling Setpoint; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x100A,UnoccHeatSetpoint,RW,scaled-int,10,fahrenheit,400,900,,name=Unoccupied Heating Setpoint; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x100B,DehumRHSetpoint,RW,scaled-int,10,percent relative humidity,300,950,,name=Dehumidification RH Setpoint; models=43|45|47|49|53|55; modelNames=VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7350A5x00W|VTR7355A5x00W
0x100B,DehumRHSetpoint,RW,scaled-int,10,percent relative humidity,150,950,,name=Dehumidification RH Setpoint; models=0|17; modelNames=VT7607B5x00W|VT7657B5x00W
0x100C,HumidRHSetpoint,RW,scaled-int,10,percent relative humidity,100,900,,name=Humidification RH Setpoint; models=0|17; modelNames=VT7607B5x00W|VT7657B5x00W
0x100D,EffectHumidRHSetpoint,R,scaled-int,10,percent relative humidity,0,1000,,name=Effective Humidification RH Setpoint; models=0|17; modelNames=VT7607B5x00W|VT7657B5x00W
0x100E,HumidHighLimitSetpoint,RW,scaled-int,10,percent relative humidity,500,900,,name=Humidification High Limit Setpoint; models=0|17; modelNames=VT7607B5x00W|VT7657B5x00W
0x100F,OccCommand,RW,enum,1,,,,OccupancyCommandEnum,offset=1; name=Occupancy Command; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1010,SequenceOperation,RW,enum,1,,,,SequenceOfOperationEnum,offset=1; name=Sequence Of Operation; models=41|42|43|44|45|46|47|48|49|50|60|61; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W
0x1010,SequenceOperation,RW,enum,1,,,,SequenceOfOperationK12Enum,offset=1; name=Sequence Of Operation; models=51; modelNames=VT7300M5x00W
0x1010,SequenceOperation,RW,enum,1,,,,SequenceOfOperationPFcuEnum,offset=1; name=Sequence Of Operation; models=53|54|55|56; modelNames=VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1011,SystemMode,RW,enum,1,,,,SystemModeRtuEnum,offset=1; name=System Mode; models=41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1012,SystemModeRTU,RW,enum,1,,,,SystemModeRtuEnum,offset=1; name=System Mode RTU; models=0|1|10|11|17|2|23|24|25|26|28|30|6|9; modelNames=VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W
0x1013,SystemModeHPU,RW,enum,1,,,,SystemModeHpEnum,offset=1; name=System Mode HPU; models=12|4; modelNames=VT7600H5x00W|VT7652H5x00W
0x1014,FanMode,RW,enum,1,,,,FanModeFcuEnum,offset=1; name=Fan Mode; models=41|42|43|44|45|46|47|48|49|50|53|54|55|56; modelNames=VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1014,FanMode,RW,enum,1,,,,FanModeRtuHpEnum,offset=1; name=Fan Mode; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|6|9; modelNames=VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W
0x1014,FanMode,RW,enum,1,,,,FanModeK12Enum,offset=-2; name=Fan Mode; models=51; modelNames=VT7300M5x00W
0x1015,KeypadLockout,RW,enum,1,,,,KeypadLookoutFcuEnum,offset=1; name=Keypad Lockout; models=41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1015,KeypadLockout,RW,enum,1,,,,KeypadLookoutRtuHpEnum,offset=1; name=Keypad Lockout; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|6|80|82|84|86|87|9; modelNames=VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1015,KeypadLockout,RW,enum,1,,,,KeypadLookoutFcuZoningEnum,offset=1; name=Keypad Lockout; models=81|83|85; modelNames=VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x1016,DehumLockout,RW,bool,1,,,,,offset=1; name=Dehumidification Lockout; models=43|45|47|49|53|55; modelNames=VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1017,AuxCommand,RW,bool,1,,,,,offset=1; name=Aux Command; models=41|42|43|44|45|46|47|48|49|50|51|60|61; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W
0x1018,Password,RW,u16,,,0,1000,,models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1019,PIHeatDemand,R,u16,,percent,0,100,,name=PI Heating Demand; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|82|84|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1019,WeightedPIHeatDemand,R,u16,,percent,0,100,,name=Weighted PI Heating Demand; models=81|83|85; modelNames=VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x101A,PICoolDemand,R,u16,,percent,0,100,,name=PI Cooling Demand; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|82|84|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x101A,WeightedPICoolDemand,R,u16,,percent,0,100,,name=Weighted PI Cooling Demand; models=81|83|85; modelNames=VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x101B,EffectiveOcc,R,enum,1,,,,EffectiveOccupancyEnum,offset=1; name=Effective Occupancy; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x101C,HumidifierOutput,R,u16,,percent,0,100,,name=Humidifier Output; models=0|17; modelNames=VT7607B5x00W|VT7657B5x00W
0x101D,DehumStatus,R,bool,,,,,,name=Dehumidification Status; models=0|17|43|45|47|49|53|55; modelNames=VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7607B5x00W|VT7657B5x00W|VTR7350A5x00W|VTR7355A5x00W
0x101E,EconoOutput,R,u16,,percent,0,100,,name=Economizer Output; models=1|87|9; modelNames=VT7605B5x00W|VT7656B5x00W|VZ7656E1000W
